学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http://wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
北京印刷学院,新媒体学院,http://xmt.bigc.edu.cn/rcpy/bksjy/67631.htm
